company,model,rating,date
LMSYS,Vicuna 33B,1095.0,1699401600
Meta,Llama 2 70B,1072.0,1699401600
OpenChat,OpenChat 3.5,1066.0,1699401600
Hugging Face,Zephyr 7B Beta,1044.0,1699401600
Databricks,MPT 30B,1038.0,1699401600
Alibaba,Qwen 14B,1031.0,1699401600
TII,Falcon 180B,1031.0,1699401600
Mistral AI,Mistral 7B,1013.0,1699401600
Google,PaLM 2,996.0,1699401600
UC Berkeley,Koala 13B,960.0,1699401600
Nomic AI,GPT4All 13B,932.0,1699401600
Z.ai,ChatGLM2 6B,922.0,1699401600
RWKV,RWKV-4 Raven 14B,919.0,1699401600
Stanford,Alpaca 13B,898.0,1699401600
OpenAssistant,OpenAssistant Pythia 12B,890.0,1699401600
Stability AI,StableLM Alpha 7B,839.0,1699401600
OpenAI,GPT-4,1159.0,1700092800
Anthropic,Claude 1,1146.0,1700092800
Microsoft,WizardLM 70B,1093.0,1700092800
LMSYS,Vicuna 33B,1090.0,1700092800
OpenChat,OpenChat 3.5,1070.0,1700092800
Meta,Llama 2 70B,1065.0,1700092800
Hugging Face,Zephyr 7B Beta,1042.0,1700092800
Databricks,MPT 30B,1031.0,1700092800
Alibaba,Qwen 14B,1030.0,1700092800
TII,Falcon 180B,1024.0,1700092800
Mistral AI,Mistral 7B,1008.0,1700092800
Google,PaLM 2,991.0,1700092800
Z.ai,ChatGLM3 6B,970.0,1700092800
UC Berkeley,Koala 13B,955.0,1700092800
Nomic AI,GPT4All 13B,925.0,1700092800
RWKV,RWKV-4 Raven 14B,915.0,1700092800
Stanford,Alpaca 13B,893.0,1700092800
OpenAssistant,OpenAssistant Pythia 12B,884.0,1700092800
Stability AI,StableLM Alpha 7B,833.0,1700092800
OpenAI,GPT-4,1201.0,1701820800
Anthropic,Claude 1,1153.0,1701820800
AI2,Tulu 2 70B,1105.0,1701820800
01.AI,Yi 34B,1102.0,1701820800
Microsoft,WizardLM 70B,1097.0,1701820800
LMSYS,Vicuna 33B,1093.0,1701820800
UC Berkeley,Starling 7B Alpha,1083.0,1701820800
Perplexity AI,PPLX 70B,1080.0,1701820800
OpenChat,OpenChat 3.5,1077.0,1701820800
Nous Research,OpenHermes 2.5 7B,1075.0,1701820800
Meta,Llama 2 70B,1069.0,1701820800
Hugging Face,Zephyr 7B Beta,1045.0,1701820800
Alibaba,Qwen 14B,1039.0,1701820800
Databricks,MPT 30B,1039.0,1701820800
TII,Falcon 180B,1031.0,1701820800
Mistral AI,Mistral 7B,1018.0,1701820800
Google,PaLM 2,1000.0,1701820800
Z.ai,ChatGLM3 6B,958.0,1701820800
Nomic AI,GPT4All 13B,936.0,1701820800
RWKV,RWKV-4 Raven 14B,924.0,1701820800
Stanford,Alpaca 13B,904.0,1701820800
OpenAssistant,OpenAssistant Pythia 12B,896.0,1701820800
Stability AI,StableLM Alpha 7B,845.0,1701820800
OpenAI,GPT-4,1191.0,1702598400
Anthropic,Claude 1,1151.0,1702598400
Mistral AI,Mixtral 8x7B,1116.0,1702598400
AI2,Tulu 2 70B,1110.0,1702598400
01.AI,Yi 34B,1109.0,1702598400
Google,Gemini Pro,1106.0,1702598400
Microsoft,WizardLM 70B,1102.0,1702598400
LMSYS,Vicuna 33B,1096.0,1702598400
UC Berkeley,Starling 7B Alpha,1088.0,1702598400
OpenChat,OpenChat 3.5,1077.0,1702598400
Perplexity AI,PPLX 70B,1075.0,1702598400
Meta,Llama 2 70B,1074.0,1702598400
Cognitive Computations,Dolphin 2.2.1 7B,1072.0,1702598400
Nous Research,OpenHermes 2.5 7B,1072.0,1702598400
Hugging Face,Zephyr 7B Beta,1049.0,1702598400
Alibaba,Qwen 14B,1042.0,1702598400
Databricks,MPT 30B,1041.0,1702598400
TII,Falcon 180B,1035.0,1702598400
Z.ai,ChatGLM3 6B,960.0,1702598400
Nomic AI,GPT4All 13B,937.0,1702598400
RWKV,RWKV-4 Raven 14B,924.0,1702598400
Stanford,Alpaca 13B,904.0,1702598400
OpenAssistant,OpenAssistant Pythia 12B,896.0,1702598400
Stability AI,StableLM Alpha 7B,844.0,1702598400
OpenAI,GPT-4,1192.0,1703030400
Anthropic,Claude 1,1149.0,1703030400
Mistral AI,Mixtral 8x7B,1121.0,1703030400
Google,Gemini Pro,1111.0,1703030400
01.AI,Yi 34B,1110.0,1703030400
AI2,Tulu 2 70B,1110.0,1703030400
Microsoft,WizardLM 70B,1102.0,1703030400
LMSYS,Vicuna 33B,1095.0,1703030400
UC Berkeley,Starling 7B Alpha,1089.0,1703030400
Meta,Llama 2 70B,1077.0,1703030400
OpenChat,OpenChat 3.5,1077.0,1703030400
Perplexity AI,PPLX 70B,1075.0,1703030400
Nous Research,OpenHermes 2.5 7B,1074.0,1703030400
Upstage,Solar 10.7B,1062.0,1703030400
Cognitive Computations,Dolphin 2.2.1 7B,1059.0,1703030400
Hugging Face,Zephyr 7B Beta,1049.0,1703030400
Databricks,MPT 30B,1042.0,1703030400
Alibaba,Qwen 14B,1041.0,1703030400
TII,Falcon 180B,1035.0,1703030400
Z.ai,ChatGLM3 6B,959.0,1703030400
Nomic AI,GPT4All 13B,937.0,1703030400
RWKV,RWKV-4 Raven 14B,924.0,1703030400
Stanford,Alpaca 13B,904.0,1703030400
OpenAssistant,OpenAssistant Pythia 12B,896.0,1703030400
Stability AI,StableLM Alpha 7B,844.0,1703030400
OpenAI,GPT-4,1190.0,1704758400
Mistral AI,Mistral Medium,1150.0,1704758400
Anthropic,Claude 1,1149.0,1704758400
Google,Gemini Pro,1120.0,1704758400
01.AI,Yi 34B,1111.0,1704758400
AI2,Tulu 2 70B,1106.0,1704758400
Microsoft,WizardLM 70B,1104.0,1704758400
LMSYS,Vicuna 33B,1094.0,1704758400
UC Berkeley,Starling 7B Alpha,1092.0,1704758400
Meta,Llama 2 70B,1079.0,1704758400
Nous Research,OpenHermes 2.5 7B,1079.0,1704758400
OpenChat,OpenChat 3.5,1076.0,1704758400
Perplexity AI,PPLX 70B,1073.0,1704758400
Cognitive Computations,Dolphin 2.2.1 7B,1065.0,1704758400
Upstage,Solar 10.7B,1065.0,1704758400
Hugging Face,Zephyr 7B Beta,1049.0,1704758400
Databricks,MPT 30B,1042.0,1704758400
Alibaba,Qwen 14B,1036.0,1704758400
TII,Falcon 180B,1031.0,1704758400
Z.ai,ChatGLM3 6B,960.0,1704758400
Nomic AI,GPT4All 13B,937.0,1704758400
RWKV,RWKV-4 Raven 14B,924.0,1704758400
Stanford,Alpaca 13B,904.0,1704758400
OpenAssistant,OpenAssistant Pythia 12B,896.0,1704758400
Stability AI,StableLM Alpha 7B,844.0,1704758400
OpenAI,GPT-4,1191.0,1705536000
Anthropic,Claude 1,1150.0,1705536000
Mistral AI,Mistral Medium,1148.0,1705536000
Google,Gemini Pro,1121.0,1705536000
01.AI,Yi 34B,1111.0,1705536000
AI2,Tulu 2 70B,1105.0,1705536000
Microsoft,WizardLM 70B,1104.0,1705536000
LMSYS,Vicuna 33B,1094.0,1705536000
UC Berkeley,Starling 7B Alpha,1089.0,1705536000
Meta,Llama 2 70B,1081.0,1705536000
Nous Research,OpenHermes 2.5 7B,1077.0,1705536000
OpenChat,OpenChat 3.5,1076.0,1705536000
Perplexity AI,PPLX 70B,1074.0,1705536000
Upstage,Solar 10.7B,1065.0,1705536000
Cognitive Computations,Dolphin 2.2.1 7B,1064.0,1705536000
Hugging Face,Zephyr 7B Beta,1049.0,1705536000
Databricks,MPT 30B,1043.0,1705536000
Alibaba,Qwen 14B,1034.0,1705536000
TII,Falcon 180B,1031.0,1705536000
Together AI,StripedHyena Nous 7B,1021.0,1705536000
Z.ai,ChatGLM3 6B,961.0,1705536000
Nomic AI,GPT4All 13B,937.0,1705536000
RWKV,RWKV-4 Raven 14B,924.0,1705536000
Stanford,Alpaca 13B,904.0,1705536000
OpenAssistant,OpenAssistant Pythia 12B,896.0,1705536000
Stability AI,StableLM Alpha 7B,844.0,1705536000
Google,Bard,1215.0,1706140800
OpenAI,GPT-4,1189.0,1706140800
Anthropic,Claude 1,1150.0,1706140800
Mistral AI,Mistral Medium,1150.0,1706140800
01.AI,Yi 34B,1112.0,1706140800
Microsoft,WizardLM 70B,1106.0,1706140800
AI2,Tulu 2 70B,1105.0,1706140800
LMSYS,Vicuna 33B,1094.0,1706140800
UC Berkeley,Starling 7B Alpha,1089.0,1706140800
Meta,Llama 2 70B,1081.0,1706140800
OpenChat,OpenChat 3.5,1077.0,1706140800
Nous Research,OpenHermes 2.5 7B,1075.0,1706140800
Perplexity AI,PPLX 70B,1074.0,1706140800
Upstage,Solar 10.7B,1065.0,1706140800
Cognitive Computations,Dolphin 2.2.1 7B,1064.0,1706140800
Hugging Face,Zephyr 7B Beta,1050.0,1706140800
Databricks,MPT 30B,1043.0,1706140800
Alibaba,Qwen 14B,1034.0,1706140800
TII,Falcon 180B,1032.0,1706140800
Together AI,StripedHyena Nous 7B,1017.0,1706140800
Z.ai,ChatGLM3 6B,960.0,1706140800
Nomic AI,GPT4All 13B,937.0,1706140800
RWKV,RWKV-4 Raven 14B,924.0,1706140800
Stanford,Alpaca 13B,904.0,1706140800
OpenAssistant,OpenAssistant Pythia 12B,896.0,1706140800
Stability AI,StableLM Alpha 7B,844.0,1706140800
OpenAI,GPT-4 Turbo,1252.0,1706832000
Google,Bard,1224.0,1706832000
Mistral AI,Mistral Medium,1150.0,1706832000
Anthropic,Claude 1,1149.0,1706832000
01.AI,Yi 34B,1115.0,1706832000
Microsoft,WizardLM 70B,1105.0,1706832000
AI2,Tulu 2 70B,1104.0,1706832000
LMSYS,Vicuna 33B,1093.0,1706832000
UC Berkeley,Starling 7B Alpha,1090.0,1706832000
DeepSeek,DeepSeek 67B,1082.0,1706832000
Meta,Llama 2 70B,1082.0,1706832000
Nous Research,OpenHermes 2.5 7B,1078.0,1706832000
OpenChat,OpenChat 3.5,1076.0,1706832000
Perplexity AI,PPLX 70B,1076.0,1706832000
Cognitive Computations,Dolphin 2.2.1 7B,1065.0,1706832000
Upstage,Solar 10.7B,1065.0,1706832000
Hugging Face,Zephyr 7B Beta,1051.0,1706832000
Databricks,MPT 30B,1044.0,1706832000
Alibaba,Qwen 14B,1034.0,1706832000
TII,Falcon 180B,1032.0,1706832000
Together AI,StripedHyena Nous 7B,1020.0,1706832000
Z.ai,ChatGLM3 6B,960.0,1706832000
Nomic AI,GPT4All 13B,937.0,1706832000
RWKV,RWKV-4 Raven 14B,925.0,1706832000
Stanford,Alpaca 13B,904.0,1706832000
OpenAssistant,OpenAssistant Pythia 12B,897.0,1706832000
Stability AI,StableLM Alpha 7B,845.0,1706832000
OpenAI,GPT-4 Turbo,1253.0,1707955200
Google,Bard,1218.0,1707955200
Mistral AI,Mistral Medium,1152.0,1707955200
Anthropic,Claude 1,1150.0,1707955200
Alibaba,Qwen1.5 72B,1147.0,1707955200
01.AI,Yi 34B,1111.0,1707955200
Microsoft,WizardLM 70B,1106.0,1707955200
AI2,Tulu 2 70B,1104.0,1707955200
LMSYS,Vicuna 33B,1094.0,1707955200
UC Berkeley,Starling 7B Alpha,1090.0,1707955200
OpenChat,OpenChat 3.5,1083.0,1707955200
Meta,Llama 2 70B,1082.0,1707955200
DeepSeek,DeepSeek 67B,1080.0,1707955200
Nous Research,Nous Hermes 2 8x7B,1080.0,1707955200
Perplexity AI,PPLX 70B,1074.0,1707955200
Cognitive Computations,Dolphin 2.2.1 7B,1065.0,1707955200
Upstage,Solar 10.7B,1065.0,1707955200
Hugging Face,Zephyr 7B Beta,1050.0,1707955200
Databricks,MPT 30B,1045.0,1707955200
TII,Falcon 180B,1033.0,1707955200
Together AI,StripedHyena Nous 7B,1019.0,1707955200
Z.ai,ChatGLM3 6B,959.0,1707955200
Nomic AI,GPT4All 13B,938.0,1707955200
RWKV,RWKV-4 Raven 14B,926.0,1707955200
Stanford,Alpaca 13B,905.0,1707955200
OpenAssistant,OpenAssistant Pythia 12B,898.0,1707955200
Stability AI,StableLM Alpha 7B,846.0,1707955200
OpenAI,GPT-4 Turbo,1251.0,1709596800
Google,Bard,1203.0,1709596800
Mistral AI,Mistral Large,1160.0,1709596800
Alibaba,Qwen1.5 72B,1147.0,1709596800
Anthropic,Claude 1,1147.0,1709596800
Microsoft,WizardLM 70B,1103.0,1709596800
01.AI,Yi 34B,1100.0,1709596800
AI2,Tulu 2 70B,1099.0,1709596800
LMSYS,Vicuna 33B,1090.0,1709596800
UC Berkeley,Starling 7B Alpha,1085.0,1709596800
Meta,Llama 2 70B,1082.0,1709596800
OpenChat,OpenChat 3.5,1082.0,1709596800
Nous Research,Nous Hermes 2 8x7B,1081.0,1709596800
DeepSeek,DeepSeek 67B,1075.0,1709596800
Perplexity AI,PPLX 70B,1070.0,1709596800
Upstage,Solar 10.7B,1062.0,1709596800
Cognitive Computations,Dolphin 2.2.1 7B,1061.0,1709596800
Hugging Face,Zephyr 7B Beta,1048.0,1709596800
Databricks,MPT 30B,1042.0,1709596800
TII,Falcon 180B,1028.0,1709596800
Together AI,StripedHyena Nous 7B,1016.0,1709596800
Z.ai,ChatGLM3 6B,956.0,1709596800
Nomic AI,GPT4All 13B,937.0,1709596800
RWKV,RWKV-4 Raven 14B,922.0,1709596800
Stanford,Alpaca 13B,902.0,1709596800
OpenAssistant,OpenAssistant Pythia 12B,895.0,1709596800
Stability AI,StableLM Alpha 7B,843.0,1709596800
OpenAI,GPT-4 Turbo,1251.0,1709769600
Anthropic,Claude 3 Opus,1233.0,1709769600
Google,Bard,1203.0,1709769600
Mistral AI,Mistral Large,1155.0,1709769600
Alibaba,Qwen1.5 72B,1147.0,1709769600
Microsoft,WizardLM 70B,1103.0,1709769600
01.AI,Yi 34B,1100.0,1709769600
AI2,Tulu 2 70B,1099.0,1709769600
LMSYS,Vicuna 33B,1090.0,1709769600
UC Berkeley,Starling 7B Alpha,1085.0,1709769600
OpenChat,OpenChat 3.5,1083.0,1709769600
Meta,Llama 2 70B,1082.0,1709769600
Nous Research,Nous Hermes 2 8x7B,1082.0,1709769600
DeepSeek,DeepSeek 67B,1074.0,1709769600
Perplexity AI,PPLX 70B,1070.0,1709769600
Upstage,Solar 10.7B,1062.0,1709769600
Cognitive Computations,Dolphin 2.2.1 7B,1059.0,1709769600
Hugging Face,Zephyr 7B Beta,1047.0,1709769600
Databricks,MPT 30B,1043.0,1709769600
TII,Falcon 180B,1027.0,1709769600
Together AI,StripedHyena Nous 7B,1016.0,1709769600
Z.ai,ChatGLM3 6B,956.0,1709769600
Nomic AI,GPT4All 13B,937.0,1709769600
RWKV,RWKV-4 Raven 14B,922.0,1709769600
Stanford,Alpaca 13B,901.0,1709769600
OpenAssistant,OpenAssistant Pythia 12B,894.0,1709769600
Stability AI,StableLM Alpha 7B,843.0,1709769600
OpenAI,GPT-4 Turbo,1249.0,1710288000
Anthropic,Claude 3 Opus,1247.0,1710288000
Google,Bard,1202.0,1710288000
Mistral AI,Mistral Large,1155.0,1710288000
Alibaba,Qwen1.5 72B,1146.0,1710288000
Microsoft,WizardLM 70B,1102.0,1710288000
01.AI,Yi 34B,1099.0,1710288000
AI2,Tulu 2 70B,1097.0,1710288000
LMSYS,Vicuna 33B,1089.0,1710288000
UC Berkeley,Starling 7B Alpha,1084.0,1710288000
OpenChat,OpenChat 3.5,1084.0,1710288000
Meta,Llama 2 70B,1082.0,1710288000
Nous Research,Nous Hermes 2 8x7B,1081.0,1710288000
DeepSeek,DeepSeek 67B,1073.0,1710288000
Perplexity AI,PPLX 70B,1068.0,1710288000
Upstage,Solar 10.7B,1061.0,1710288000
Cognitive Computations,Dolphin 2.2.1 7B,1058.0,1710288000
Hugging Face,Zephyr 7B Beta,1046.0,1710288000
Databricks,MPT 30B,1042.0,1710288000
TII,Falcon 180B,1026.0,1710288000
Together AI,StripedHyena Nous 7B,1015.0,1710288000
Z.ai,ChatGLM3 6B,955.0,1710288000
Nomic AI,GPT4All 13B,937.0,1710288000
RWKV,RWKV-4 Raven 14B,922.0,1710288000
Stanford,Alpaca 13B,901.0,1710288000
OpenAssistant,OpenAssistant Pythia 12B,893.0,1710288000
Stability AI,StableLM Alpha 7B,842.0,1710288000
OpenAI,GPT-4 Turbo,1251.0,1711411200
Google,Bard,1203.0,1711411200
Anthropic,Claude 3 Sonnet,1198.0,1711411200
Mistral AI,Mistral Large,1157.0,1711411200
Alibaba,Qwen1.5 72B,1148.0,1711411200
UC Berkeley,Starling 7B Beta,1127.0,1711411200
Microsoft,WizardLM 70B,1102.0,1711411200
01.AI,Yi 34B,1099.0,1711411200
AI2,Tulu 2 70B,1097.0,1711411200
LMSYS,Vicuna 33B,1088.0,1711411200
OpenChat,OpenChat 3.5,1087.0,1711411200
Meta,Llama 2 70B,1082.0,1711411200
Nous Research,Nous Hermes 2 8x7B,1081.0,1711411200
DeepSeek,DeepSeek 67B,1074.0,1711411200
Perplexity AI,PPLX 70B,1069.0,1711411200
Upstage,Solar 10.7B,1061.0,1711411200
Cognitive Computations,Dolphin 2.2.1 7B,1058.0,1711411200
Hugging Face,Zephyr 7B Beta,1047.0,1711411200
Databricks,MPT 30B,1041.0,1711411200
TII,Falcon 180B,1027.0,1711411200
Together AI,StripedHyena Nous 7B,1017.0,1711411200
Z.ai,ChatGLM3 6B,955.0,1711411200
Nomic AI,GPT4All 13B,934.0,1711411200
RWKV,RWKV-4 Raven 14B,921.0,1711411200
Stanford,Alpaca 13B,900.0,1711411200
OpenAssistant,OpenAssistant Pythia 12B,892.0,1711411200
Stability AI,StableLM Alpha 7B,841.0,1711411200
Anthropic,Claude 3 Opus,1253.6,1711497600
OpenAI,GPT-4 Turbo,1251.2,1711497600
Google,Bard,1203.5,1711497600
Mistral AI,Mistral Large,1156.6,1711497600
Alibaba,Qwen1.5 72B,1148.2,1711497600
Cohere,Command R,1147.6,1711497600
UC Berkeley,Starling 7B Beta,1119.5,1711497600
Microsoft,WizardLM 70B,1102.8,1711497600
01.AI,Yi 34B,1099.0,1711497600
AI2,Tulu 2 70B,1098.3,1711497600
LMSYS,Vicuna 33B,1088.3,1711497600
OpenChat,OpenChat 3.5,1087.6,1711497600
Meta,Llama 2 70B,1082.2,1711497600
Nous Research,Nous Hermes 2 8x7B,1082.1,1711497600
DeepSeek,DeepSeek 67B,1074.9,1711497600
Perplexity AI,PPLX 70B,1070.3,1711497600
Databricks,DBRX,1065.7,1711497600
Upstage,Solar 10.7B,1061.1,1711497600
Cognitive Computations,Dolphin 2.2.1 7B,1059.2,1711497600
Hugging Face,Zephyr 7B Beta,1047.4,1711497600
TII,Falcon 180B,1028.0,1711497600
Together AI,StripedHyena Nous 7B,1017.1,1711497600
Z.ai,ChatGLM3 6B,955.9,1711497600
Nomic AI,GPT4All 13B,933.6,1711497600
RWKV,RWKV-4 Raven 14B,920.8,1711497600
Stanford,Alpaca 13B,900.1,1711497600
OpenAssistant,OpenAssistant Pythia 12B,892.6,1711497600
Stability AI,StableLM Alpha 7B,841.5,1711497600
Anthropic,Claude 3 Opus,1255.9,1712102400
OpenAI,GPT-4 Turbo,1252.9,1712102400
Google,Bard,1206.2,1712102400
Mistral AI,Mistral Large,1157.7,1712102400
Alibaba,Qwen1.5 72B,1150.8,1712102400
Cohere,Command R,1146.3,1712102400
UC Berkeley,Starling 7B Beta,1118.3,1712102400
Microsoft,WizardLM 70B,1104.7,1712102400
01.AI,Yi 34B,1100.9,1712102400
AI2,Tulu 2 70B,1098.8,1712102400
OpenChat,OpenChat 3.5,1094.3,1712102400
LMSYS,Vicuna 33B,1090.0,1712102400
Nous Research,Nous Hermes 2 8x7B,1084.7,1712102400
Meta,Llama 2 70B,1084.3,1712102400
DeepSeek,DeepSeek 67B,1076.2,1712102400
Perplexity AI,PPLX 70B,1070.9,1712102400
Upstage,Solar 10.7B,1063.8,1712102400
Cognitive Computations,Dolphin 2.2.1 7B,1057.6,1712102400
Hugging Face,Zephyr 7B Beta,1048.9,1712102400
Databricks,MPT 30B,1044.5,1712102400
TII,Falcon 180B,1028.7,1712102400
Together AI,StripedHyena Nous 7B,1021.7,1712102400
Z.ai,ChatGLM3 6B,959.1,1712102400
Nomic AI,GPT4All 13B,940.7,1712102400
RWKV,RWKV-4 Raven 14B,925.1,1712102400
Stanford,Alpaca 13B,904.1,1712102400
OpenAssistant,OpenAssistant Pythia 12B,896.5,1712102400
Stability AI,StableLM Alpha 7B,845.3,1712102400
Anthropic,Claude 3 Opus,1255.8,1712620800
OpenAI,GPT-4 Turbo,1253.9,1712620800
Google,Bard,1207.9,1712620800
Cohere,Command R+,1194.3,1712620800
Mistral AI,Mistral Large,1157.5,1712620800
Alibaba,Qwen1.5 72B,1152.6,1712620800
UC Berkeley,Starling 7B Beta,1118.4,1712620800
Microsoft,WizardLM 70B,1106.8,1712620800
01.AI,Yi 34B,1105.7,1712620800
AI2,Tulu 2 70B,1101.9,1712620800
OpenChat,OpenChat 3.5,1097.3,1712620800
LMSYS,Vicuna 33B,1092.3,1712620800
Meta,Llama 2 70B,1086.8,1712620800
Nous Research,Nous Hermes 2 8x7B,1086.0,1712620800
DeepSeek,DeepSeek 67B,1078.8,1712620800
Perplexity AI,PPLX 70B,1074.0,1712620800
Upstage,Solar 10.7B,1064.6,1712620800
Cognitive Computations,Dolphin 2.2.1 7B,1063.8,1712620800
Hugging Face,Zephyr 7B Beta,1051.7,1712620800
Databricks,MPT 30B,1044.6,1712620800
TII,Falcon 180B,1034.5,1712620800
Together AI,StripedHyena Nous 7B,1021.1,1712620800
Z.ai,ChatGLM3 6B,958.5,1712620800
Nomic AI,GPT4All 13B,936.0,1712620800
RWKV,RWKV-4 Raven 14B,925.5,1712620800
Stanford,Alpaca 13B,904.8,1712620800
OpenAssistant,OpenAssistant Pythia 12B,897.5,1712620800
Stability AI,StableLM Alpha 7B,846.0,1712620800
Anthropic,Claude 3 Opus,1255.9,1712707200
OpenAI,GPT-4 Turbo,1254.2,1712707200
Google,Bard,1208.3,1712707200
Cohere,Command R+,1194.5,1712707200
Mistral AI,Mistral Large,1158.0,1712707200
Alibaba,Qwen1.5 72B,1153.1,1712707200
UC Berkeley,Starling 7B Beta,1118.3,1712707200
Microsoft,WizardLM 70B,1107.1,1712707200
01.AI,Yi 34B,1105.7,1712707200
AI2,Tulu 2 70B,1102.2,1712707200
Databricks,DBRX,1101.9,1712707200
OpenChat,OpenChat 3.5,1098.5,1712707200
LMSYS,Vicuna 33B,1092.6,1712707200
Meta,Llama 2 70B,1086.9,1712707200
Nous Research,Nous Hermes 2 8x7B,1086.4,1712707200
DeepSeek,DeepSeek 67B,1079.1,1712707200
Perplexity AI,PPLX 70B,1074.3,1712707200
Upstage,Solar 10.7B,1064.8,1712707200
Cognitive Computations,Dolphin 2.2.1 7B,1064.1,1712707200
Hugging Face,Zephyr 7B Beta,1052.0,1712707200
TII,Falcon 180B,1034.8,1712707200
Together AI,StripedHyena Nous 7B,1021.6,1712707200
Z.ai,ChatGLM3 6B,958.8,1712707200
